leaf,kernel,mode,radius,L,neighbours,count,total,key,threshold,maxPointsLeaf
371,cube,cartesian,3,1.95324,0,2,30,0,16,128
88716,cube,cartesian,3,7.81297,16,45,67,0,16,128
88712,cube,cartesian,3,7.81297,2,59,78,0,16,128
88589,cube,cartesian,3,1.95324,4,69,69,0,16,128
88600,cube,cartesian,3,0.976621,0,1,95,0,16,128
88581,cube,cartesian,3,0.976621,1,1,24,1,16,128
88583,cube,cartesian,3,0.976621,1,19,19,0,16,128
88584,cube,cartesian,3,0.976621,3,30,30,0,16,128
88554,cube,cartesian,3,0.976621,1,1,125,0,16,128
88546,cube,cartesian,3,0.488311,0,0,21,0,16,128
88547,cube,cartesian,3,0.488311,0,0,28,0,16,128
88518,cube,cartesian,3,1.95324,43,48,48,0,16,128
88519,cube,cartesian,3,1.95324,0,0,127,0,16,128
88536,cube,cartesian,3,0.488311,2,2,35,0,16,128
88537,cube,cartesian,3,0.488311,1,1,33,0,16,128
88528,cube,cartesian,3,0.488311,0,2,38,0,16,128
88504,cube,cartesian,3,0.488311,1,1,35,1,16,128
88505,cube,cartesian,3,0.488311,1,25,25,0,16,128
88490,cube,cartesian,3,0.488311,1,1,31,1,16,128
88491,cube,cartesian,3,0.488311,1,1,32,1,16,128
87634,cube,cartesian,3,1.95324,16,17,17,0,16,128
87642,cube,cartesian,3,0.976621,2,102,102,0,16,128
87620,cube,cartesian,3,1.95324,2,80,107,0,16,128
87621,cube,cartesian,3,1.95324,51,51,55,0,16,128
87618,cube,cartesian,3,0.976621,1,59,59,0,16,128
87595,cube,cartesian,3,3.90648,10,27,30,0,16,128
87596,cube,cartesian,3,3.90648,2,40,43,0,16,128
87599,cube,cartesian,3,3.90648,6,41,42,0,16,128
87600,cube,cartesian,3,3.90648,8,18,81,0,16,128
462574,cube,cartesian,3,1.95324,46,58,58,0,16,128
462554,cube,cartesian,3,1.95324,0,0,102,0,16,128
462571,cube,cartesian,3,1.95324,0,0,79,0,16,128
462563,cube,cartesian,3,0.976621,29,29,33,0,16,128
462566,cube,cartesian,3,0.976621,110,110,110,0,16,128
462567,cube,cartesian,3,0.976621,118,118,118,0,16,128
462570,cube,cartesian,3,0.976621,27,27,29,0,16,128
462559,cube,cartesian,3,0.976621,104,110,110,0,16,128
462562,cube,cartesian,3,0.976621,36,38,43,0,16,128
462454,cube,cartesian,3,1.95324,0,62,62,0,16,128
462478,cube,cartesian,3,0.976621,0,0,82,0,16,128
