leaf,kernel,mode,radius,L,neighbours,count,total,key,threshold,maxPointsLeaf
375536,cube,cartesian,5,1.95312,54,54,95,0,16,128
375521,cube,cartesian,5,1.95312,26,26,26,0,16,128
375528,cube,cartesian,5,1.95312,27,27,27,0,16,128
375496,cube,cartesian,5,3.90625,127,127,127,0,16,128
375503,cube,cartesian,5,3.90625,6,21,58,0,16,128
375450,cube,cartesian,5,1.95312,4,4,30,1,16,128
375453,cube,cartesian,5,1.95312,6,6,81,1,16,128
375203,cube,cartesian,5,3.90625,19,59,91,0,16,128
375224,cube,cartesian,5,1.95312,19,19,49,0,16,128
375225,cube,cartesian,5,1.95312,22,22,51,0,16,128
375227,cube,cartesian,5,1.95312,19,19,52,0,16,128
375215,cube,cartesian,5,1.95312,0,1,22,0,16,128
375216,cube,cartesian,5,1.95312,3,31,44,0,16,128
375091,cube,cartesian,5,1.95312,1,2,31,1,16,128
375081,cube,cartesian,5,1.95312,8,38,41,0,16,128
375083,cube,cartesian,5,1.95312,1,1,52,1,16,128
375084,cube,cartesian,5,1.95312,10,10,73,1,16,128
327760,cube,cartesian,5,3.90625,0,99,114,0,16,128
327678,cube,cartesian,5,3.90625,0,0,22,0,16,128
327632,cube,cartesian,5,1.95312,0,0,20,0,16,128
327634,cube,cartesian,5,1.95312,54,64,64,0,16,128
327627,cube,cartesian,5,0.976562,8,8,31,0,16,128
327629,cube,cartesian,5,0.976562,14,15,36,0,16,128
327607,cube,cartesian,5,3.90625,0,0,22,0,16,128
323093,cube,cartesian,5,7.81249,0,96,125,0,16,128
323233,cube,cartesian,5,3.90625,13,13,35,0,16,128
323228,cube,cartesian,5,1.95312,57,68,68,0,16,128
323229,cube,cartesian,5,1.95312,60,60,60,0,16,128
323230,cube,cartesian,5,1.95312,46,47,115,0,16,128
323215,cube,cartesian,5,3.90625,102,103,107,0,16,128
323161,cube,cartesian,5,3.90625,0,24,127,0,16,128
323074,cube,cartesian,5,0.976562,11,38,38,0,16,128
323076,cube,cartesian,5,0.976562,7,7,48,1,16,128
323024,cube,cartesian,5,1.95312,42,43,43,0,16,128
323027,cube,cartesian,5,1.95312,1,1,52,0,16,128
323029,cube,cartesian,5,1.95312,27,27,106,0,16,128
323030,cube,cartesian,5,1.95312,0,0,18,0,16,128
323020,cube,cartesian,5,3.90625,83,83,83,0,16,128
323014,cube,cartesian,5,1.95312,7,7,64,0,16,128
323017,cube,cartesian,5,1.95312,65,65,114,0,16,128
323019,cube,cartesian,5,1.95312,67,68,68,0,16,128
323006,cube,cartesian,5,0.976562,13,44,53,0,16,128
323012,cube,cartesian,5,0.976562,41,41,48,0,16,128
323013,cube,cartesian,5,0.976562,14,14,29,0,16,128
322999,cube,cartesian,5,0.976562,9,9,55,1,16,128
323004,cube,cartesian,5,0.976562,12,12,24,1,16,128
323005,cube,cartesian,5,0.976562,3,3,41,1,16,128
9429,cube,cartesian,5,7.81249,30,56,57,0,16,128
9421,cube,cartesian,5,1.95312,9,24,24,0,16,128
9420,cube,cartesian,5,1.95312,5,7,53,0,16,128
6839,cube,cartesian,5,1.95312,1,15,48,0,16,128
6840,cube,cartesian,5,1.95312,7,16,33,0,16,128
6776,cube,cartesian,5,3.90625,2,6,102,0,16,128
6417,cube,cartesian,5,3.90625,19,29,119,0,16,128
6419,cube,cartesian,5,1.95312,16,16,39,0,16,128
6420,cube,cartesian,5,1.95312,13,17,50,0,16,128
6421,cube,cartesian,5,1.95312,4,20,38,0,16,128
