kernel,radius,mode,get_range_time,loop_time,projectionTime,binarySearchTime,threshold,maxPointsLeaf
sphere,2.000000,polar,0.0,0.0,1.6026e-05,3.7886e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.3465e-05,3.2251e-05,32,256
sphere,2.000000,polar,0.0,0.0,9.254e-06,1.3648e-05,32,256
sphere,2.000000,polar,0.0,0.0,7.878e-06,8.082e-06,32,256
sphere,2.000000,polar,0.0,0.0,6.818e-06,2.0646e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.3061e-05,3.7079e-05,32,256
sphere,2.000000,polar,0.0,0.0,4.733e-06,9.091e-06,32,256
sphere,2.000000,polar,0.0,0.0,1.3047e-05,2.7288e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.6128e-05,3.517e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.8366e-05,4.4703e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.1702e-05,2.6527e-05,32,256
sphere,2.000000,polar,0.0,0.0,7.93e-06,4.86e-06,32,256
sphere,2.000000,polar,0.0,0.0,9.375e-06,2.1094e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.3215e-05,1.1654e-05,32,256
sphere,2.000000,polar,0.0,0.0,8.749e-06,2.0159e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.1075e-05,1.8524e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.3998e-05,2.9904e-05,32,256
sphere,2.000000,polar,0.0,0.0,9.974e-06,1.9843e-05,32,256
sphere,2.000000,polar,0.0,0.0,3.206e-06,6.656e-06,32,256
sphere,2.000000,polar,0.0,0.0,9.743e-06,2.1894e-05,32,256
sphere,2.000000,polar,0.0,0.0,2.0957e-05,5.4335e-05,32,256
sphere,2.000000,polar,0.0,0.0,9.006e-06,2.5366e-05,32,256
sphere,2.000000,polar,0.0,0.0,9.507e-06,1.9543e-05,32,256
sphere,2.000000,polar,0.0,0.0,6.3e-06,7.357e-06,32,256
sphere,2.000000,polar,0.0,0.0,1.2064e-05,3.3935e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.003e-05,2.6446e-05,32,256
sphere,2.000000,polar,0.0,0.0,7.367e-06,9.379e-06,32,256
sphere,2.000000,polar,0.0,0.0,6.324e-06,1.4264e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.1652e-05,3.4199e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.2001e-05,3.8176e-05,32,256
sphere,2.000000,polar,0.0,0.0,2.402e-06,7.138e-06,32,256
sphere,2.000000,polar,0.0,0.0,8.023e-06,1.5304e-05,32,256
sphere,2.000000,polar,0.0,0.0,9.539e-06,2.5704e-05,32,256
sphere,2.000000,polar,0.0,0.0,4.175e-06,7.165e-06,32,256
sphere,2.000000,polar,0.0,0.0,1.1399e-05,3.3717e-05,32,256
sphere,2.000000,polar,0.0,0.0,5.591e-06,3.049e-06,32,256
sphere,2.000000,polar,0.0,0.0,1.6293e-05,4.5249e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.0367e-05,2.8894e-05,32,256
sphere,2.000000,polar,0.0,0.0,8.011e-06,2.947e-05,32,256
sphere,2.000000,polar,0.0,0.0,9.085e-06,2.3832e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.3149e-05,3.9387e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.0042e-05,2.6805e-05,32,256
sphere,2.000000,polar,0.0,0.0,4.515e-06,1.3653e-05,32,256
sphere,2.000000,polar,0.0,0.0,9.372e-06,3.037e-05,32,256
sphere,2.000000,polar,0.0,0.0,6.734e-06,2.0923e-05,32,256
sphere,2.000000,polar,0.0,0.0,7.496e-06,7.09e-06,32,256
sphere,2.000000,polar,0.0,0.0,1.2873e-05,3.6349e-05,32,256
sphere,2.000000,polar,0.0,0.0,7.774e-06,2.1748e-05,32,256
sphere,2.000000,polar,0.0,0.0,8.218e-06,1.3248e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.3342e-05,3.7862e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.1422e-05,3.9029e-05,32,256
sphere,2.000000,polar,0.0,0.0,7.759e-06,1.7422e-05,32,256
sphere,2.000000,polar,0.0,0.0,4.833e-06,1.59e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.6685e-05,4.7514e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.2549e-05,3.8812e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.1727e-05,3.5917e-05,32,256
sphere,2.000000,polar,0.0,0.0,7.16e-06,1.7736e-05,32,256
sphere,2.000000,polar,0.0,0.0,8.602e-06,2.946e-05,32,256
sphere,2.000000,polar,0.0,0.0,6.995e-06,2.1974e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.1166e-05,3.0328e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.7312e-05,2.2259e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.8311e-05,3.6017e-05,32,256
sphere,2.000000,polar,0.0,0.0,6.639e-06,1.6403e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.3797e-05,3.6143e-05,32,256
sphere,2.000000,polar,0.0,0.0,4.94e-07,0,32,256
sphere,2.000000,polar,0.0,0.0,1.6323e-05,4.1543e-05,32,256
sphere,2.000000,polar,0.0,0.0,8.855e-06,1.9084e-05,32,256
